dim,total,iter,pi_est,count
2,100000,37,3.13816000,78454
2,100000,38,3.13800000,78450
2,100000,39,3.14580000,78645
2,100000,40,3.13992000,78498
2,100000,41,3.14516000,78629
2,100000,42,3.14184000,78546
2,100000,43,3.14416000,78604
2,100000,44,3.13848000,78462
2,100000,45,3.14328000,78582
2,100000,46,3.13796000,78449
2,100000,47,3.13536000,78384
2,100000,48,3.14828000,78707
2,100000,49,3.13816000,78454
2,100000,50,3.13876000,78469
2,100000,51,3.14640000,78660
2,100000,52,3.14104000,78526
2,100000,53,3.14212000,78553
2,100000,54,3.14600000,78650
2,100000,55,3.14132000,78533
2,100000,56,3.14644000,78661
2,100000,57,3.14196000,78549
2,100000,58,3.14360000,78590
2,100000,59,3.13836000,78459
2,100000,60,3.14088000,78522
2,100000,61,3.14452000,78613
2,100000,62,3.14092000,78523
2,100000,63,3.15320000,78830
2,100000,64,3.13568000,78392
2,100000,65,3.14176000,78544
2,100000,66,3.13884000,78471
2,100000,67,3.13456000,78364
2,100000,68,3.13792000,78448
2,100000,69,3.14200000,78550
2,100000,70,3.14528000,78632
2,100000,71,3.14052000,78513
2,100000,72,3.14092000,78523
2,100000,73,3.14056000,78514
2,100000,74,3.14404000,78601
2,100000,75,3.15436000,78859
2,100000,76,3.14124000,78531
2,100000,77,3.14304000,78576
2,100000,78,3.13472000,78368
2,100000,79,3.14792000,78698
2,100000,80,3.14096000,78524
2,100000,81,3.14580000,78645
2,100000,82,3.14636000,78659
2,100000,83,3.14360000,78590
2,100000,84,3.14284000,78571
2,100000,85,3.14220000,78555
2,100000,86,3.13648000,78412
2,100000,87,3.13748000,78437
2,100000,88,3.14364000,78591
2,100000,89,3.14400000,78600
2,100000,90,3.14664000,78666
2,100000,91,3.14180000,78545
2,100000,92,3.13240000,78310
2,100000,93,3.13708000,78427
2,100000,94,3.14344000,78586
2,100000,95,3.14748000,78687
2,100000,96,3.14612000,78653
2,100000,97,3.14540000,78635
2,100000,98,3.14528000,78632
2,100000,99,3.14004000,78501
2,100000,summary,3.14228760,0.00407144
2,500000,0,3.14016800,392521
2,500000,1,3.13754400,392193
2,500000,2,3.14255200,392819
2,500000,3,3.14135200,392669
2,500000,4,3.14146400,392683
2,500000,5,3.14032800,392541
2,500000,6,3.14017600,392522
2,500000,7,3.14314400,392893
2,500000,8,3.13826400,392283
2,500000,9,3.14095200,392619
2,500000,10,3.14536800,393171
2,500000,11,3.14350400,392938
2,500000,12,3.13987200,392484
2,500000,13,3.14779200,393474
2,500000,14,3.14652000,393315
2,500000,15,3.13875200,392344
2,500000,16,3.14441600,393052
2,500000,17,3.14205600,392757
2,500000,18,3.14431200,393039
2,500000,19,3.14221600,392777
2,500000,20,3.14375200,392969
2,500000,21,3.14140800,392676
2,500000,22,3.14012000,392515
2,500000,23,3.13984000,392480
2,500000,24,3.14410400,393013
2,500000,25,3.14069600,392587
2,500000,26,3.13969600,392462
2,500000,27,3.14013600,392517
2,500000,28,3.14289600,392862
2,500000,29,3.14165600,392707
2,500000,30,3.14269600,392837
2,500000,31,3.14082400,392603
2,500000,32,3.14288000,392860
2,500000,33,3.14295200,392869
2,500000,34,3.14404800,393006
2,500000,35,3.14000800,392501
2,500000,36,3.14124000,392655
2,500000,37,3.13707200,392134
2,500000,38,3.14240000,392800
2,500000,39,3.13905600,392382
2,500000,40,3.14040800,392551
2,500000,41,3.14153600,392692
2,500000,42,3.14267200,392834
2,500000,43,3.14434400,393043
2,500000,44,3.14073600,392592
2,500000,45,3.14170400,392713
2,500000,46,3.13865600,392332
2,500000,47,3.13990400,392488
2,500000,48,3.13935200,392419
2,500000,49,3.14074400,392593
2,500000,50,3.14234400,392793
